Text,depressive,sentiment,emo1,emo2,emo3
she has a heart condition.,0,2,13,,
It feels incredibly lonely to realize you can never share something with someone and have it be between just the two of you.,1,2,13,,
"And although I am going to a brighter and a happier land, nevertheless, I shall still look down upon you all here, and long and long and long that you may know something of the radiantly happy and holy life which is possible fore every married couple who will practice these teachings.",0,0,1,2,
this is a plea..,0,2,13,,
in keeping with channel 40s policy of bringing you the latest in blood and guts in living color we bring you another first an attempted suicide.,0,2,13,,
i was so glad i did not die.,0,2,13,,
NAME had dropped the 'bomb' which he boasted of claimed NAME in private to me and laughed.,0,1,8,9,
what makes it nevertheless hard to take this final step is the reflection of the pain it is bound to inflict on my few surviving friends and above all my wife cynthia.,1,1,12,13,
"for example when we are back stage and the lights go out and the manic roar of the crowds begins., it does not affect me the way in which it did for freddie mercury, who seemed to love, relish in the the love and adoration from the crowd which is something i totally admire and envy.",1,2,13,,
reasons for deciding to put an end to my life are simple and compelling parkinsons disease and the slow killing variety of leukemia ccl.,1,1,8,13,
"judge demiria has already told the press that he, quote, 'felt invigorated' when we were found guilty, and that he plans to imprison me as a deterrent to other public officials.",0,2,13,,
i believe that it is advisable if ones inclinations lead to the antisocial side.,1,0,2,,
I actively despise the person I am.,1,1,7,10,
my eyes glazed and absent.,1,2,13,,
"Thus, I am left With basically nothing.",1,1,12,10,
"And yes, I realize this indicates that I have severe trust issues, but they're based on a large number of experiences with people who have shown a profound disrespect for their word and the privacy of others.",0,1,12,,
was lasted for driving on 15 year license twice and having drugs and a sagarate time for carring a pistol.,0,2,13,,
That was my favourite thing about you.,0,2,13,,
"But When I came for joining they asked for ""extra"" 2 lakhs in the name of caution money & extra curricular activities etc.",0,2,13,7,
I make a final offering of flesh for the children.,0,2,13,,
"Its teachings will make your married lives healthier, happier, holier.",0,0,1,2,
I love you two.,0,0,3,,
I WILL SEE YOU & MOM AGAIN SOMEDAY.,0,0,2,,
Are not smokers choosing death by lung cancer?,1,1,12,,
i tried it five years ago.,1,2,13,,
"There is no one who had it harder than me, no one weaker than me.",0,2,13,,
It was hard to end it.,0,2,13,,
they always try to misrepresent them every time they can.,1,2,13,,
Well I have to.,0,2,13,,
He chose to stay with me when you and dad were too busy to notice my loneliness.,0,0,1,,
"I am hurting too blud, and I really need to rest.",1,1,12,,
"as you get this letter, this should be no surprise that i have decided to leave the earth, because i need to be with caylee marie.",0,0,2,,
"Since then, I have tried everything to fill the void.",0,2,13,,
I have no clue how my future is going to be.,0,1,11,9,
This is where I am now.,0,2,13,,
i was here.,0,2,13,,
love and holidays are not for pne.,0,2,13,,
"could it really be so awful?"" that's what i say to myself now.",0,1,12,,
i am angry only because he has suspected me without any basis.,1,1,7,8,
[smiley face inside the o],0,0,1,,
I love you both and life with you both would have been wonderful if I had not messed it up and myself.,0,0,2,12,
and that's why i am doing this.,0,2,13,,
"at the end of the school year, my parents finally came around and gave me my phone and let me back on social media.",1,2,13,,
I will have no way to face up to my friends.,0,2,13,,
"she said it happens to a lot of people, the pills would not hurt me.",1,2,13,,
Thank for your love and support through all the hard years.,0,0,5,3,1
He wants to be my man and provider.,0,2,13,,
i am being called!,1,2,13,,
"i have reached out for help so many times, and yet i believe, i was turned away because of the things i did, that it is a punishment i am willing to take, for i know that being who i am has only brought myself and others pain.",1,2,13,,
i am never going to have enough friends to satisfy me.,1,1,12,13,
you are so lovely and dear to my heart and you possess such incredible beauty.,0,0,3,,
everything has gone from me but the certainty of your goodness.,0,2,13,4,
i feel justified in terminating a life which no longer holds any hope of having the essentials which make it worth living - i did desperately want to get well - i still had much to live for - hope for recovery - hope of a reunion with the children - work which i loved and which could have given me financial security and great satisfaction.,1,1,11,12,13
remember that which was good and lovely in our relationship and forgive me for the many mistakes i have made.,0,2,14,3,10
67. you are getting greedy.,0,2,13,,
It was easy to say end it.,0,2,13,,
"Here is my request; when I am gone, could you please use a bit of the taxes that I have paid over the years, if that would not make me a scrounger, to cremate my body and release the ashes somewhere in the wild.",0,2,14,,
and if they find out he can use it and uncle 13. veants it i am going to be his donor.,0,2,13,,
I have tried to keep him as a friend and brother for a long time now - you know that.,0,2,13,,
all the wordings from the punk rock 101. i have not felt the excitement of listening to as well as creating music along with reading and writing for too many years now.i have tried everything thats in my power to appreciate it and i do.,0,2,13,,
"You meet enough people, date enough, and you know what's right when you see it.",0,2,13,,
i want you to know that i have a deep affection for you.,1,2,14,,
would be fighting for me and for the project.,0,0,2,,
I anyway would just have been a living dead body.,1,1,11,13,
"I thought perhaps I could make some headway with thiS film p1oject, maybe even directly appealing to those I had wronged and exposing a greater truth, but that iS also now being taken away from me.",0,1,7,2,
i am happy.,0,0,1,,
"Only one of my books, that on ""The Wedding Night,"" is at present under legal ban.",0,2,13,,
It doesn't affect me the way in which it did for Freddy Mercury who seemes to love.,0,2,13,,
that's pathetic.,0,1,12,,
Thank you.,0,0,5,,
you are special.,0,0,1,,
The ones used to buy me when I was having a bad day.,0,2,13,,
before it is too late.,0,2,13,,
I'm so sorry for this.,1,1,10,,
"As I hustled year in and year out, fought through another failed relationship with someone who cheated and/or left, and scrambled for another half-ass job that didn't work out, my mental state got more stressed and more panicked.",1,1,12,,
i hope you overcome the unsecurity and i hope you realise that you are ever so beautiful.,0,0,2,,
my parents do not have any hand in the same.,1,2,13,,
I feel like a grime is covering me.,1,1,10,,
And especially the no-destination-in-sight long walks.,0,1,11,,
insecurities die.,0,2,13,,
I can't help it.,1,1,12,,
i never talk about any of it assholes fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck,1,1,7,13,
this oceanic feeling has often sustained me at difficult moments and does so now while i am writing this.,1,2,13,,
then are just fucked assholes.,1,1,7,,
i have always brought you down.,0,1,10,,
it did not matter how many gifts i gave you or how beautiful i looked for you.,0,1,12,,
please inform police.,0,2,14,,
I love him dearly and he is all I was breathing for.,0,0,3,,
i have the dukes boots and hat and lord greys coat and some more heads.,0,2,13,,
"my head hurts so much from crying but if i take anything for it i am scared i wo not stop and i would want to stop.""",1,1,12,9,
People who had it worse than me lived well.,0,2,13,,
All the animals who had been ill or old are restored to health and vigor; those who were hurt or maimed are made whole and strong again just as we remember them in our dreams of days gone by.,1,1,12,,
I sorry to put you through all this,0,2,13,,
"My boyfriend left me because of one of my friend yesterday, on 26 day.",1,1,12,10,
consider this my suicide note.,1,2,14,,
"All my powers of finance, properties, bank of account all power of signing authorities will be Vinayak because I am having trust in Vinayak.",0,2,13,1,
"a writer of science, like carl sagan.",0,2,13,,
"""i wanted to do too much.",0,2,13,,
I cannot live on with a title that does not belong to me.,1,1,10,,
no more i will pay the bills.,0,2,13,,
i will take him with me.,0,2,13,,
to who it may concern,1,2,13,,
I want to be cremated by some of my ashes set free in an open area - the country - a beautiful landscaped area and the majority buried.,0,2,14,11,
lid give my all to a girl and she'd take it and run.,1,1,12,,
"My name is NAME, and I was raped.",0,2,13,,
"all you want in life is partying, your women and your selfish motives.",1,1,7,,
your henry.,0,2,13,,
"the truth is, nothing on earth can help me.",1,1,12,13,
She is the only one who knows about my depression.,0,1,8,13,
My fault was also this only.,0,2,13,,
i cannot read.,0,2,13,,
To my Family:-,0,2,13,,
i do it exceptionally well.,1,2,13,,
I wanted to plan out my funeral so that too is taken care of but I don't have a bit silly.,0,2,13,,
"There's no point in identifying who molested me, so I'm just going to leave it at that.",0,2,13,11,
"i am satisfied with my decision because i have never been the man you, lee, casey and & especially caylee marie deserved.",0,0,1,13,
for several years i have been mistaken for another party the reason for which is a similarity of names and by being in the same profession.,0,1,10,12,
"No offense, but please do not try to understand me to every extent because as far as I can tell some things were still a mystery to you.",0,2,13,14,12
The Governor states that he has been finally convinced of my guilt by the affidavits of Eunice Pockwell and Eachel Cookson.,0,2,13,,
"All they do is to harass PG students & blame us for their failures, raise our fees & cut our stipend every now and then, some uneducated person will come (even in midnight & even after being drink) and take signs of PG on some blank paper.",1,1,8,7,13
"i nominate as my executor my most faithful party comrade, martin bormann.",0,2,13,,
i do not remember when iwas happy.,1,1,12,,
everything to live for.,0,0,4,,
I asked who was there.,0,2,13,,
It brings you down and sometimes being a little naive helps.,0,2,13,,
Nothing at all.,0,2,13,,
BUT HEAVEN IS MY HOME.,0,2,13,,
and the devil was a human being now killed and cast into hell and the angel with the keys of the bottomless pit is in hell casting out all the good souls which these evil people have cast into hell for no reason.,0,2,13,,
"NAME nad NAME are liars, cheaters and crook.",0,1,8,,
to surrender is to know.,0,2,13,,
"they begin to tell me that nobody wants me there,",0,2,13,,
Everything in life is defined by the other things around it.,0,2,13,,
The world deserves to read your thoughts.,0,0,2,,
i am proud of how i lived.,0,0,4,,
he alone knows my heartache and love for you.,1,0,3,13,
like carpenters they want to know which tools.,0,2,13,,
Last year my little daughter died.,1,1,12,,
i left all my lyrics by 'let the good times roll' - plus the rest of the money.,0,2,13,,
"i do ont remember if the partnership agreement provides for a case like this - but if it does not and i think it does not, i would much prefer - i have not time to make this a legal requirement - but, i would much prefer that you, as executrix under my will, do not elect to participate in profits for 2 or 3 years or whatever it may be that is specified there.",0,2,13,,
We planned our future together.,0,2,13,,
i told him i did not want to see him any more.,0,2,13,,
you know i love you.,0,0,3,,
be glad i am at least free from the miseries and loneliness i have endured for so long and that at last i'll have peace and rest?,1,2,14,12,1
I think I would have made a good dad.,0,0,2,,
to whom it may concern goodbye you old prick and when i mean prick you are a prick.,1,1,7,,
pressure from tham.,1,1,8,,
No judge has any right to denounce a prisoner because he differs with that prisoner in his religious belief.,0,1,12,,
remember that,0,2,13,,
I ask that you be happy for me for that.,0,0,2,,
i feel so sick not i kind of feel happy to because i know know it will be over soon.,1,1,11,,
i am sorry to leave you alone.,1,1,10,,
"Obviously I'm responsible for every decision and action, including this one, but there are reasons why things happen the way they do.",1,1,10,8,
"i must find a new world, a world of peace and happiness.",0,0,2,,
i have had a wonderful life but it is over and my nerves get worse and i am afraid they will have to take me away.,1,0,1,12,9
She kept us out of OT & department & humiliated us publicaly for 2-3 months till we surrndered to take our case back.,1,1,8,13,
& several other behind the scene sonsperators for my suicide.,0,2,13,,
Where is the dignity there?,1,1,7,,
my last and loving thoughts are of you.,1,0,3,,
Those who had a loving home miss someone very special who had to be left behind.,0,2,13,2,
i am leaving you with your worries in this sweet cesspool - good luck.,0,1,7,,
May God in mercy bless and guard those I leeve behind and give them peace.,0,0,2,13,
the short period of the streptomycin inhalations could not have brought on the results if the ulceration had even partially healed.,1,2,13,,
my partners have been generous with me while i worked with them.,0,2,13,,
i thought that i would not be able to describe why i want to do this and i am right.,1,2,13,,
"I was with her after 3 years of weirthing, the lovely, smart, pretty girl.",0,2,13,,
Everyone just respects everyone.,0,2,13,,
Pains are pains.,0,2,13,,
"I AM SORRY MUMMY, NAME, NAME",0,1,12,,
"I have chosen Jo Nketaih's poem as my suicide note: ""They said you came looking for me.",0,2,13,,
personally i care not.,1,2,13,,
Maybe something would have worked soon... And then there's NAME.,0,0,2,,
"I Dr. NAME, am writing this note in full consciousness.",0,2,13,,
"I know the legal and practical limits of doctor/patient confidentiality, growing up in a house where we'd hear stories about the various mental illnesses of famous people, stories that were passed down through generations.",0,2,13,,
"all creation,",0,2,13,,
i begin to hear voices and i cannot concentrate.,0,1,12,13,
This is written By NAME.,0,2,13,,
skin and was proud of most decisions I made.,0,0,4,13,
huh... maybe not!,0,1,12,,
"conversations with god 1, 2, 3",0,2,13,,
Usually I am strong and what others say does not affect me.,0,2,13,,
do not feel sorry for me.,1,2,14,,
Ive never been a quitter but there comes a time when enough is enough.,1,1,12,11,
dying is an art like everything else.,1,2,13,,
"Mom, I want you to know that I love you dearly and will ever love you.",0,0,3,,
however i cannot live without arthur despite certain inner resources.,1,2,13,,
i coulnd not do that do you.,1,1,10,12,
Relationships always started out fine and I'd be able to ignore him for a few weeks.,0,0,2,,
than plaug wrist into bathtum of hot water.,0,2,14,,
cathy do not go in the bedroom.,0,2,14,,
"Once we touched, the darkness would envelope her too and take her over and the evil inside me would surround her.",1,1,9,,
social acclaim d. will talk to meall the sweet without the bitten but then what then do you know that the two months have passed and that at any moment she may return august 16 today i see clearly that from 28 until now i have always lived under this shadow.,0,2,13,,
i give up.,0,2,13,,
i do not know!,1,2,13,,
you must not blame yourself.,0,2,13,,
Cal-Italian cuisine.,0,0,1,,
"I had a beautiful gospel of right living in the marriage relation, which I wanted you to share with me.",0,0,2,13,
No big funeral or anything aong that line.,0,2,14,,
I love you mommy,0,0,3,,
Are not the people the people who disregard the environment killing themselves and future generations?,1,1,12,,
i do not khow about that everything will be like i am kind of scared too.,1,1,9,,
Losing her was very hard for me as well.,1,1,12,11,
my last wish should be honoured.,0,2,14,,
i am totally bankrupt and broken.,1,1,11,,
"even though i live, i am not really alive.",1,0,2,,
"This is to let you know that my road is fast approaching its end, and I shall take my own life and rest .",1,2,13,,
UNTIL WE SEE EACH OTHER AGAIN.,0,2,13,,
it was basic adolescent scare tactics.,1,2,13,,
I wanted to run away.,1,2,13,,
they are so opportunistic they [do not][71] neglect to profit from the knowledge accumulated by men through the ages.,1,2,13,,
She could never have me without the darkness and evil inside me.,1,2,13,,
here ruining people is considered sport.,1,2,13,,
"assure you that, when the numbers do finally drop, it will merely be because those were pushed the farthest are all already dead.",0,1,12,,
ALSO YOU MYSH COMPREHEND THERE WAS NO WAY OUT I.E.,0,2,13,,
i am in debt to so many people.,1,2,13,,
"Owing to this and to other legal precedents which hamper the defendant in obscene literature cases as is done in no other criminal cases anywhere; owing also the dense ignorance and prejudice which prevail in regard to the scientific open discussion of sexual matters; and, most of all, owing to Mr. NAME's persistent lies and to his adroitness in depicting the shocking possibilities of corrupting the morals of innocent youth by permitting young people to peruse any enlightening literature upon the details of normal, healthy, pure marital relations--matters have now reached the point where it is only necessary to accuse a person of mailing so-called ""obscene"" literature in order to convict him.",0,2,13,,
Saying I love you.,0,0,3,,
i stayed on twitter until 3 AM at least three times a week.,0,2,13,12,
I feel guilty beyond words about these things.,1,1,10,,
"maya, you were tired of life with me and with our poor situation because i never fulfilled your dreams and wishes.",1,1,10,11,
woman good to be alive today.,0,0,2,,
You don't deserve it.,0,2,13,,
if we cannot live in peace then lets die in peace.,0,1,12,,
"I have no interest in talking about being raped as a child, both because I know it wouldn't help and because I have no confidence it would remain secret.",1,2,13,11,
i dined after having raised money on all our silver to keep us from want in case of accidents and rochfort the respectable old man in brewer street having expressed great sympathy for my misfortunes as i saw white locks under his cap i said rochfort take off your cap.,0,2,13,,
Some of that activity seemed to attract the attention of some visitors today...who have made it rather evident that this is the end of the line for me.,0,1,7,8,
and you will i know.,0,0,2,,
May it bring,0,0,2,,
"you are a waste of space, ignorant and a rotten.......... i wish i were never born.",0,1,7,,
so I can't handle the pressure I'm commenting suciede.,1,1,12,13,
"First of all, Osama bin Laden is absolutely justified in the terror he has caused on 9-11.",1,1,9,,
i am waiting.,0,0,2,,
no one ever ever had a more devoted or more understanding wife.,0,1,7,,
i worshipped ron and when he went i lost my whole world and everything.,0,1,12,11,
"I am amazed how many people think they know me, even people who I have never talked with.",0,0,2,,
Love you,0,0,3,,
yesterday in the locker room some assholes said steven is such a pussy and faggot.,0,1,7,,
no other woman will give you as much as i did or love you as much as i did.,0,2,13,,
any sane doctor knows that the reasons for suicide are invariably psychopathological and the true suicide type manufactures his own difficulties.,1,2,13,,
"Heart pounding fast, hands shaking got sick to my stomach before I left work.",0,2,13,,
I Realy needed you In a Huge WaY.,1,2,13,,
The dogs are out to eat the injured.,0,2,13,,
