,Text,depressive,sentiment,thai_text
18,"The book has been favorably reviewed by medical magazines of standing, and has been approved by physicians of reputation.",0,2,หนังสือเล่มนี้ได้รับการวิจารณ์อย่างดีจากนิตยสารด้านการแพทย์ และได้รับการอนุมัติจากแพทย์ผู้มีชื่อเสียง
19,"So, I didn't find it important enough to share.",0,2,ฉันจึงไม่พบว่ามันสำคัญพอที่จะแบ่งปัน
20,a sense of failing health of physical decadence.,1,1,ความรู้สึกของสุขภาพที่เสื่อมโทรมทางร่างกาย
21,"Jesus, where are you?",0,2,พระเยซู คุณอยู่ที่ไหน
22,I have refrained from any negative comments in the hopes that individuals will relaize their wrong doings.,1,1,ฉันได้ละเว้นจากความคิดเห็นเชิงลบใด ๆ ด้วยความหวังว่าแต่ละคนจะตระหนักถึงการกระทำที่ผิดของพวกเขา
23,i feel we cannot go through another of those terrible times.,1,1,ฉันรู้สึกว่าเราไม่สามารถผ่านช่วงเวลาที่เลวร้ายเหล่านั้นได้อีก
24,i am enclosing your pin because i want you to think of what you took from me every time you see it.,1,2,ฉันแนบพินของคุณเพราะฉันอยากให้คุณนึกถึงสิ่งที่คุณเอามาจากฉันทุกครั้งที่คุณเห็นมัน
25,you both warned me & wish more than you guys & could of got it together - I love you both so much - you're a great son & mom.,0,0,คุณทั้งคู่เตือนฉัน & ปรารถนามากกว่าพวกคุณ & ทำได้ - ฉันรักคุณทั้งคู่มาก - คุณเป็นลูกชายและแม่ที่ดี
26,i can barely see what i am writing.,0,2,ฉันแทบจะไม่เห็นสิ่งที่ฉันเขียน
27,"even if you are christian or are against transgender people do not ever say that to someone, especially your kid.",1,1,แม้ว่าคุณจะนับถือศาสนาคริสต์หรือต่อต้านคนข้ามเพศก็ตาม อย่าพูดแบบนั้นกับใครสักคน โดยเฉพาะลูกของคุณ
28,I have been purchasing lot's of items from you.,0,2,ฉันซื้อของจากคุณมามากแล้ว
29,"My Family is also in no way affiliated with my actions, no one is, encept myself.",0,2,ครอบครัวของฉันไม่มีส่วนเกี่ยวข้องกับการกระทำของฉัน ไม่มีใครเกี่ยวข้อง ยกเว้นตัวฉันเอง
30,"Whenever you saw me I was on top of the world, because you pulled me up there.",0,2,เมื่อใดก็ตามที่คุณเห็นฉัน ฉันอยู่บนจุดสูงสุดของโลก เพราะคุณดึงฉันขึ้นไปที่นั่น
31,I've forgiven them number of times but it was my biggest mistake.,0,1,ฉันยกโทษให้พวกเขาหลายครั้งแล้ว แต่มันเป็นความผิดพลาดครั้งใหญ่ที่สุดของฉัน
32,They partition the world into good and evil and survive by hating everything they fear or misunderstand and calling it love.,0,1,พวกเขาแบ่งโลกออกเป็นความดีและความชั่วและเอาตัวรอดด้วยการเกลียดทุกสิ่งที่พวกเขากลัวหรือเข้าใจผิดและเรียกมันว่าความรัก
33,"I rarely felt that I was successful explaining my ideas, perceptions, understandings to others.",1,2,ฉันไม่ค่อยรู้สึกว่าฉันประสบความสำเร็จในการอธิบายความคิด การรับรู้ ความเข้าใจของฉันให้คนอื่นเข้าใจ
34,My family is very innocent.,0,2,ครอบครัวของฉันไร้เดียงสามาก
35,he is innocent.,0,2,เขาเป็นผู้บริสุทธิ์
36,"even if the mad killer epithet will be attributed to me by the media, i consider myself a rational erudite that only the arrival of the grim reaper has forced to take extreme acts.",0,2,แม้ว่าฉายาของนักฆ่าผู้บ้าคลั่งจะตกเป็นของฉันโดยสื่อ แต่ฉันก็ถือว่าตัวเองเป็นผู้รอบรู้ที่มีเหตุผลซึ่งมีเพียงการมาถึงของยมทูตเท่านั้นที่บังคับให้ต้องกระทำการที่รุนแรง
37,"You may recall those days of twenty years ago when we discussed ""Empedocles on Etna"" - under the linden trees.",0,2,"คุณอาจจำวันเหล่านั้นเมื่อยี่สิบปีที่แล้วได้เมื่อเราคุยกันเรื่อง ""Empedocles on Etna"" - ใต้ต้นดอกเหลือง"
38,People say suicide is selfish.,0,2,มีคนบอกว่าการฆ่าตัวตายเป็นการเห็นแก่ตัว
39,they led me to destroy the proof of their misdeeds and still they behave as if they have nothing to do with me.,0,1,พวกเขาพาฉันไปทำลายหลักฐานการกระทำผิดของพวกเขาและยังคงทำตัวราวกับว่าพวกเขาไม่มีอะไรเกี่ยวข้องกับฉัน
40,"they were extremely excited to see me and talk to me, but only at first.",0,0,พวกเขาตื่นเต้นมากที่ได้พบฉันและพูดคุยกับฉัน แต่ในตอนแรกเท่านั้น
41,please pray for me.,0,2,โปรดอธิษฐานเผื่อฉัน
42,h. v. kleist but how this whole thing came to pass i will let you know another time today i am in too great a hurry.,0,2,ชม. v. kleist แต่เรื่องทั้งหมดเกิดขึ้นได้อย่างไร ฉันจะแจ้งให้คุณทราบอีกครั้งในวันนี้ ฉันรีบเกินไป
43,the doctor who gave it to me calmed me down.,0,2,แพทย์ผู้ให้ยาแก่ฉันทำให้ฉันสงบลง
44,"This darkness, which is the only way I can describe it, has followed me like a fog, but at times intensified and overwhelmed me, usually triggered by a distinct situation.",1,1,ความมืดนี้ซึ่งเป็นวิธีเดียวที่ฉันสามารถอธิบายได้ มันติดตามฉันเหมือนหมอก แต่บางครั้งก็รุนแรงขึ้นและครอบงำฉัน ซึ่งมักจะถูกกระตุ้นโดยสถานการณ์ที่แตกต่างกัน
45,"All of this has destabilized me, I'm not as strong as any of you, it seems.",1,1,ทั้งหมดนี้ทำให้ฉันไม่มั่นคง ดูเหมือนว่าฉันไม่แข็งแรงเหมือนพวกคุณทุกคน
46,in particular my remorse is bitter over my failure to appreciate my beautiful lost angel carlotta the only woman i ever loved and whom i respect and admire above all the rest of the human race.,1,0,โดยเฉพาะอย่างยิ่ง ความเสียใจของฉันขมขื่นกับความล้มเหลวของฉันที่จะชื่นชมคาร์ลอตต้า นางฟ้าผู้สูญหายที่สวยงามของฉัน ผู้หญิงคนเดียวที่ฉันเคยรักและเป็นคนที่ฉันเคารพและชื่นชมเหนือเผ่าพันธุ์มนุษย์ที่เหลือทั้งหมด
47,lay down your life with your child.,1,2,ฝากชีวิตไว้กับลูก
48,weak women have done it.,0,1,ผู้หญิงอ่อนแอได้ทำมัน
49,mallory is such a great women.,0,2,มัลลอรี่เป็นผู้หญิงที่เก่งมาก
50,"However, the challenges facing a person are already so great that all but the weakest would give up, these extra factors are enough to push a person over the edge.",0,1,อย่างไรก็ตาม ความท้าทายที่บุคคลเผชิญนั้นยิ่งใหญ่มากเสียจนทุกคนยกเว้นผู้อ่อนแอที่สุดยอมแพ้ ปัจจัยพิเศษเหล่านี้เพียงพอที่จะผลักดันบุคคลให้ข้ามขอบ
51,the will establish if my contention is right or not.,0,2,จะพิสูจน์ว่าข้อโต้แย้งของฉันถูกต้องหรือไม่
52,"Now it is self-evideut to any one having knowledge of medicine that no one addicted to morphine could bo murdered with five grains of that drug, because for such a person five grains would not be a fatal dose.",1,1,ตอนนี้มันเป็นการพิสูจน์ตัวเองถึงใครก็ตามที่มีความรู้เรื่องยาว่าไม่มีใครที่ติดมอร์ฟีนสามารถถูกฆ่าตายด้วยยานั้น 5 เม็ด เพราะสำหรับคนเช่นนั้น 5 เม็ดจะไม่ถึงขนาดร้ายแรง
53,the loss of caylee marie.,1,1,การสูญเสียเคย์ลี มารี
54,"Call my grandma, NAME at ADDRESS and let her know I love her too.",0,2,โทรหาคุณยายของฉัน NAME ที่ ADDRESS และบอกให้เธอรู้ว่าฉันก็รักเธอเช่นกัน
55,You created rumors and twisted words.,1,1,คุณสร้างข่าวลือและคำพูดบิดเบือน
56,i love you.,0,0,ฉันรักคุณ.
57,"She would have brought me money and professional success; she would have graced my home, and had I known of her sad habit it would have been my happiness to shield and cure her.",0,0,เธอจะนำเงินและความสำเร็จในอาชีพมาให้ฉัน เธอคงจะชอบบ้านของฉัน และถ้าฉันรู้ถึงนิสัยเศร้าของเธอ ฉันคงมีความสุขที่ได้ปกป้องและรักษาเธอ
58,"again, i do not feel sorry for myself, but yes i am stupid.",1,1,อีกครั้งฉันไม่รู้สึกเสียใจสำหรับตัวเอง แต่ใช่ฉันโง่
59,do not you hear.,0,2,คุณไม่ได้ยิน
60,[name removed] started this.,0,2,[ลบชื่อ] เริ่มต้นสิ่งนี้
61,"It is strange that most if not all of this destruction is instigated by people who claim to believe in God, or Allah.",1,1,เป็นเรื่องแปลกที่ความพินาศนี้ส่วนใหญ่ไม่ได้เกิดจากคนที่อ้างตัวว่าเชื่อในพระเจ้าหรืออัลลอฮ์
62,But I feel like i have to.,1,1,แต่ฉันรู้สึกว่าฉันต้อง
63,you have to step across.,0,2,คุณต้องก้าวข้าม
64,"first of all, I would like to declare that NO BODY /NOTHING has compelled me to take this step.",0,2,ก่อนอื่น ฉันขอประกาศว่าไม่มีร่างกาย/ไม่มีอะไรบังคับให้ฉันทำตามขั้นตอนนี้
65,"no more i will wash, iron & mend any clothes.",1,2,ฉันจะไม่ซัก รีด และซ่อมเสื้อผ้าอีกต่อไป
66,many thanks to professor felice lieh-mak (cheung's last psychiatrist).,0,0,ขอบคุณมากสำหรับศาสตราจารย์ เฟลิซ ลีเอมัก (จิตแพทย์คนสุดท้ายของเฉิง)
67,take our life from us.,0,2,พรากชีวิตไปจากเรา
68,Or even ask me how I'm feeling about it.,0,1,หรือแม้แต่ถามฉันว่าฉันรู้สึกอย่างไรเกี่ยวกับเรื่องนี้
69,"Every one of the paragraphs indicted in ""The Wedding Night"" is the outcome of talks which I have had with distinguished physicians and also with men and women among my pupils.",0,2,"ทุกย่อหน้าที่ถูกฟ้องใน ""คืนวันวิวาห์"" เป็นผลมาจากการพูดคุยที่ฉันมีกับแพทย์ที่มีชื่อเสียง และกับผู้ชายและผู้หญิงในหมู่ลูกศิษย์ของฉันด้วย"
70,i have already lost everything.,1,2,ฉันได้สูญเสียทุกอย่างไปแล้ว
71,"""i must end it.",0,0,“ฉันต้องจบมัน
72,i am never going to be happy.,1,1,ฉันจะไม่มีวันมีความสุข
73,I would have got something for sure.,0,0,ฉันจะได้สิ่งที่แน่นอน
74,I am sorry.,0,1,ฉันขอโทษ.
75,well some everybody dies.,0,1,บางคนก็ตาย
76,This address both shar b have what you need.,0,2,ที่อยู่นี้ทั้ง shar b มีสิ่งที่คุณต้องการ
77,You are one of the best people live ever met.,0,0,คุณเป็นหนึ่งในคนที่ดีที่สุดที่เคยพบมา
78,"i think, 'yes!",0,2,ฉันคิดว่าใช่!
79,"if you, who is reading this letter can do anything for me, i have to get 7 months of my fellowship, one lakh and seventy five thousand rupees.",0,2,ถ้าคุณที่กำลังอ่านจดหมายฉบับนี้สามารถทำอะไรให้ฉันได้ ฉันต้องได้รับมิตรภาพ 7 เดือน หนึ่งแสนเจ็ดหมื่นห้าพันรูปี
80,It is for you.,0,2,นี่สำหรับเธอ.
81,He couldn't keep his dirty hands off me or any of my teenage girlfriends.,1,1,เขาไม่สามารถละมือสกปรกออกจากฉันหรือแฟนวัยรุ่นของฉันได้
82,i however want to die quietly and out of the public eye.,1,2,อย่างไรก็ตามฉันต้องการที่จะตายอย่างเงียบ ๆ และจากสายตาของสาธารณชน
83,"There is also about 1 million Oct The 2 in non schuob mutual funds, also in the bottom left drower.",0,2,นอกจากนี้ยังมีประมาณ 1 ล้าน Oct The 2 ในกองทุนรวม non schuob ซึ่งอยู่ในลิ้นชักซ้ายล่างด้วย
84,"uma anna, sorry for using your room for this thing.",0,1,อูมา แอนนา ขอโทษที่ใช้ห้องของคุณเพื่อสิ่งนี้
85,It iS true that I have found that I am capable Of finding same kind Of reprieve by doing things that are worthwhile an the scale Of life and death.,0,2,เป็นความจริงที่ฉันได้พบว่าฉันสามารถหาทางบรรเทาทุกข์แบบเดียวกันได้โดยการทำสิ่งที่มีค่าเท่ากับขนาดของชีวิตและความตาย
86,i have thought for a long time about comiting suicide.,1,2,ฉันคิดมานานแล้วว่าจะฆ่าตัวตาย
87,"I'm dieing, praying, bleeding and screaming",1,1,ฉันกำลังจะตาย อธิษฐาน หลั่งเลือด และกรีดร้อง
88,these days i see no light i wake up not wanting to wake up.,1,1,วันนี้ฉันไม่เห็นแสง ฉันตื่นไม่อยากตื่น
89,The darkness will always be with me.,1,1,ความมืดจะอยู่กับฉันตลอดไป
90,I also have struggled with depression and probably a few other issues.,1,2,ฉันยังต้องต่อสู้กับภาวะซึมเศร้าและอาจมีปัญหาอื่นๆ อีกเล็กน้อย
91,"Thank you for all the beautiful motivational wisdom you for sure are the best a friend could ever ask for beautiful, smart, always there.",0,0,ขอบคุณสำหรับความรู้ที่สร้างแรงบันดาลใจที่สวยงามทั้งหมด คุณมั่นใจว่าเป็นเพื่อนที่ดีที่สุดเท่าที่จะเคยขอได้ สวย ฉลาด และอยู่เคียงข้างเสมอ
92,they could not fucking take it and i know that without a doubt.,1,2,พวกเขาไม่สามารถรับมันได้และฉันรู้โดยไม่ต้องสงสัย
93,"All my life I have tried to do the right thing, and always looked forward to doing the right thing among my fellow humankind , but of late, I have seen the blurring of the distinction between right and wrong.",1,1,ตลอดชีวิตของฉัน ฉันพยายามทำในสิ่งที่ถูกต้อง และตั้งหน้าตั้งตารอที่จะทำสิ่งที่ถูกต้องในหมู่เพื่อนมนุษย์ด้วยกันเสมอ แต่ช่วงหลังมานี้ ฉันมองเห็นความพร่ามัวของความแตกต่างระหว่างสิ่งถูกและผิด
94,I am sure the results will clear me but no one will believe it.,1,1,ฉันแน่ใจว่าผลลัพธ์จะทำให้ฉันชัดเจน แต่ไม่มีใครเชื่อ
95,"It leaves us to Where all we have to 100k forward to iS constant pain, misery, poverty, and dishonor.",0,1,มันทิ้งเราไปที่ที่เราต้องทุ่มเท 100k ไปข้างหน้าเพื่อความเจ็บปวด ความทุกข์ยาก ความยากจน และความอัปยศอดสูอย่างต่อเนื่อง
96,"At 40+ years old with a random patchwork of a resume, I've been virtually unemployable.",1,1,เมื่ออายุ 40 ปีขึ้นไปพร้อมกับเรซูเม่แบบสุ่ม ฉันแทบตกงาน
97,i have no will of my own.,1,2,ฉันไม่มีความประสงค์ของฉันเอง
98,"And even if I had fought through the darkness and married and had children all while being unable to feel intimacy, I could have never done that if suicide were a possibility.",0,2,และแม้ว่าฉันจะฝ่าฟันผ่านความมืดมิดและแต่งงานและมีลูกโดยที่ไม่รู้สึกใกล้ชิด ฉันก็ไม่เคยทำแบบนั้นเลยถ้าการฆ่าตัวตายเป็นไปได้
99,Forgive me.,0,0,ยกโทษให้ฉัน
100,in my bad time my friend NAME n NAME help me lot but it's my bad luck that I been part of there life.,0,0,ในช่วงเวลาเลวร้ายของฉัน เพื่อนของฉัน NAME n NAME ช่วยเหลือฉันมาก แต่โชคร้ายที่ฉันเป็นส่วนหนึ่งของชีวิตที่นั่น
101,Please make sure my kids know I love them.,0,0,โปรดแน่ใจว่าลูก ๆ ของฉันรู้ว่าฉันรักพวกเขา
102,then i think about comitting suicide agaoin.,1,1,แล้วฉันก็คิดจะฆ่าตัวตายอีกครั้ง
103,I am sorry that I didn't fight til end but I cannot handle this anymore.,1,1,ฉันขอโทษที่ฉันไม่ได้ต่อสู้จนจบ แต่ฉันไม่สามารถรับมือกับมันได้อีกต่อไป
104,exit strategy for me other than the one I have chosen here.,1,1,ออกจากกลยุทธ์สำหรับฉันนอกเหนือจากที่ฉันได้เลือกไว้ที่นี่
105,So I watched as things fell apart between us.,0,1,ดังนั้นฉันจึงมองดูสิ่งต่าง ๆ แตกสลายระหว่างเรา
106,my birth is my fatal accident.,1,1,การเกิดของฉันคืออุบัติเหตุร้ายแรงของฉัน
107,I'm so sorry.,1,1,ฉันขอโทษ.
108,"Jesus, if your are alive, could you please reveal yourself to me?",0,0,พระเยซู ถ้าท่านยังมีชีวิตอยู่ โปรดเปิดเผยตัวต่อข้าพเจ้าได้ไหม?
109,it is simple theres no convulsions with it.,0,2,มันง่ายไม่มีอาการชักด้วย
110,the other patients and one orderly helped me a lot more than he did.,1,2,ผู้ป่วยรายอื่นและอีกหนึ่งคนช่วยฉันได้มากกว่าเขามาก
111,"He was and alwasy will be my essence and ashe grows, I wnat him to know that..",0,2,เขาเคยเป็นและจะเป็นแก่นแท้ของฉันตลอดไป และเถ้าถ่านก็เติบโต ฉันอยากให้เขารู้ว่า..
112,Love NAME x.,0,0,รักชื่อ x
113,please think kindly of me and forgive me.,0,0,ได้โปรดคิดเมตตาฉันและยกโทษให้ฉันด้วย
114,I feel pain in my heart and brain all the time.,1,1,ฉันรู้สึกเจ็บปวดที่หัวใจและสมองตลอดเวลา
115,I've chosen my destiny.,1,2,ฉันเลือกโชคชะตาของฉันแล้ว
116,I think This the best I can do to end this madness.,1,1,ฉันคิดว่านี่เป็นสิ่งที่ดีที่สุดที่ฉันสามารถทำได้เพื่อยุติความบ้าคลั่งนี้
117,"i have long forgiven those who have hurt me, but i have not and cannot come to terms to forgive myself for the things i have done to myself, and the things i have done to hurt those in my life.",1,2,ฉันให้อภัยคนที่ทำร้ายฉันมานานแล้ว แต่ฉันไม่เคยและไม่สามารถทำใจที่จะให้อภัยตัวเองสำหรับสิ่งที่ฉันทำกับตัวเอง และสิ่งที่ฉันได้ทำไปเพื่อทำร้ายคนที่อยู่ในชีวิตของฉัน
118,"at the end, i have no option other than committing suicide.",1,1,ในตอนท้าย ฉันไม่มีทางเลือกอื่นนอกจากฆ่าตัวตาย
119,"they would be outraged, and rightfully so.",0,1,พวกเขาจะโกรธเคืองและถูกต้อง
120,never again.,0,2,ไม่มีอีกครั้ง.
121,This is cruelly false.,1,1,นี่เป็นเรื่องเท็จอย่างโหดร้าย
122,I love you NAME,0,0,ฉันรักคุณ NAME
123,Many of the irresponsible things I did were the result of the darkness.,1,1,สิ่งที่ฉันทำโดยขาดความรับผิดชอบหลายอย่างเป็นผลมาจากความมืด
124,john copping a fouryear navy veteran set himself on fire in 1967.,0,2,จอห์น คอปปิ้ง ทหารผ่านศึกกองทัพเรือสี่ปีจุดไฟเผาตัวเองในปี 2510
125,and I love you,0,0,และฉันรักคุณ
126,It's selfishly time for me to be happy and I know you can get down with that.,0,0,ถึงเวลาเห็นแก่ตัวแล้วที่ฉันจะมีความสุข และฉันรู้ว่าคุณสามารถเลิกกับมันได้
127,"in time, you will see how appreciated you are, as well as all the others equally!",0,2,เมื่อเวลาผ่านไป คุณจะเห็นว่าคุณชื่นชมคุณมากเพียงใด เช่นเดียวกับคนอื่นๆ ทุกคน!
128,my comrade government my family is lilia brik my mother my sisters and veronica vitoldovna polonskaya.,0,2,รัฐบาลสหายของฉัน ครอบครัวของฉันคือลิเลียบริก แม่ของฉัน น้องสาวของฉันและเวโรนิกา vitoldovna polonskaya
129,There's no way I can fix this or even push the darkness down far enough to make a relationship or any type of intimacy feasible.,1,1,ไม่มีทางที่ฉันจะแก้ไขปัญหานี้หรือแม้แต่ผลักความมืดให้ไกลพอที่จะทำให้ความสัมพันธ์หรือความสัมพันธ์ใกล้ชิดเป็นไปได้
130,I believe him with suspicion but till now he tried to do sex 8 to 10 times with me but was unable to do with me we never had intercourse.,0,2,ฉันเชื่อเขาด้วยความสงสัย แต่จนถึงตอนนี้เขาพยายามมีเซ็กส์กับฉัน 8-10 ครั้งแต่ทำไม่ได้ เราไม่เคยมีเพศสัมพันธ์เลย
131,You both deserve a better life than this.,0,0,คุณทั้งคู่สมควรได้รับชีวิตที่ดีกว่านี้
132,people who call and write are exasperated and feel helpless.,1,2,คนที่โทรและเขียนจะโกรธและรู้สึกหมดหนทาง
133,"i was excited, i finally had my friends back.",0,2,ฉันตื่นเต้น ในที่สุดฉันก็ได้เพื่อนกลับมา
134,i blame no one and feel i have no enemies.,1,2,ฉันไม่โทษใครและรู้สึกว่าฉันไม่มีศัตรู
135,I love you.,0,0,ฉันรักคุณ.
136,"In kindergarten I couldn't use the bathroom and would stand petrified whenever I needed to, which started a trend of awkward and unexplained social behavior.",1,1,ในโรงเรียนอนุบาล ฉันไม่สามารถใช้ห้องน้ำได้และจะยืนตัวแข็งเป็นหินเมื่อใดก็ตามที่ฉันต้องการ ซึ่งเริ่มมีแนวโน้มของพฤติกรรมทางสังคมที่น่าอึดอัดใจและอธิบายไม่ได้
137,I stopped sleeping soundly.,0,2,ฉันหยุดหลับอุตุ
138,I had hopes that coming from the [?],0,0,ฉันมีความหวังว่าจะมาจาก [?]
139,I was happy but I also was lost for words,0,0,ฉันมีความสุข แต่ฉันก็สูญเสียคำพูด
140,I'm messed up inside.,0,2,ฉันยุ่งเหยิงอยู่ข้างใน
141,i have simply come to the point of despair.,1,2,ฉันเพิ่งมาถึงจุดที่สิ้นหวัง
142,To everyone else FUCK YOU.,0,1,ถึงคนอื่น FUCK YOU
143,Understanding my desire to do with Kids (Carlin - gave up),0,1,เข้าใจความปรารถนาที่จะทำกับเด็กๆ (คาร์ลิน - ยอมแพ้)
144,Today will be the last time.,1,1,วันนี้จะเป็นครั้งสุดท้าย
145,i would not be around when you read this letter.,0,2,ฉันจะไม่อยู่ใกล้ๆ เมื่อคุณอ่านจดหมายฉบับนี้
146,I love you all so much and I don't want anyone to miss me just think about how much better you are off without me to support.,0,0,ฉันรักพวกคุณทุกคนมาก และฉันไม่อยากให้ใครคิดถึงฉัน แค่คิดดูว่าคุณจะอยู่ดีขึ้นแค่ไหนถ้าไม่มีฉันคอยสนับสนุน
147,Let NAME know I love her and if it had come down to it I would have taken a bullet for her.,0,0,ให้ NAME รู้ว่าฉันรักเธอ และถ้าเรื่องนั้นเกิดขึ้นจริง ฉันคงรับกระสุนแทนเธอแล้ว
148,seems to be getting the better of me fast.,0,2,ดูเหมือนว่าจะดีขึ้นอย่างรวดเร็ว
149,just think!,0,2,แค่คิด!
150,"dear mum,",0,0,คุณแม่ที่รัก
151,"Business and industry have more power than ever before, and individuals have less.",0,2,ธุรกิจและอุตสาหกรรมมีอำนาจมากขึ้นกว่าเดิม และบุคคลมีอำนาจน้อยลง
152,i am sorry we're not going to have our chance.,0,1,ฉันขอโทษที่เราจะไม่มีโอกาสของเรา
153,i loved to act and sing.,0,0,ฉันชอบแสดงและร้องเพลง
154,Sorry for not sharing.,0,1,ขออภัยที่ไม่ได้แบ่งปัน
155,Transfer the love you had for me to him.,0,2,โอนความรักที่เธอมีให้ฉันไปให้เขา
156,i will not be allowed to love and trust everybody.,0,1,ฉันจะไม่ได้รับอนุญาตให้รักและไว้วางใจทุกคน
157,i never told this to anyone because I was in love with him I thought one day everything would b okay.,0,0,ฉันไม่เคยบอกเรื่องนี้กับใครเพราะฉันรักเขา ฉันคิดว่าวันหนึ่งทุกอย่างจะไม่เป็นไร
158,i am really happy now.,1,0,ตอนนี้ฉันมีความสุขจริงๆ
159,the life i would have lived is not worth living in? because i am transgender.,1,1,ชีวิตที่ฉันจะมีชีวิตอยู่ไม่คุ้มที่จะอยู่? เพราะฉันเป็นคนข้ามเพศ
160,they are the fucking fags.,0,1,พวกเขาเป็นไอ้เลว
161,Oh yeah I want [Priest's name] to speak @ the funeral his words are beautiful a body viewing & open casket is up to family.,0,2,โอ้ใช่ ฉันอยากให้ [ชื่อนักบวช] พูด @ งานศพ คำพูดของเขาไพเราะ การดูศพ & เปิดโลงขึ้นอยู่กับครอบครัว
162,no more i will have to eat the leftover articles that was cooked the day before.,0,2,ฉันไม่ต้องกินของเหลือที่ปรุงเมื่อวันก่อนอีกต่อไป
163,"You have not thought about the stigma I have to live with for the rest of my life, you have not apologized or once asked is there something you can do to make it better or even felt bad for it.",1,1,คุณไม่ได้คิดถึงความอัปยศที่ฉันต้องอยู่ด้วยไปตลอดชีวิต คุณไม่เคยขอโทษหรือเคยถามว่ามีอะไรที่คุณสามารถทำได้เพื่อทำให้ดีขึ้นหรือแม้แต่รู้สึกแย่กับมัน
164,i have had a great life great friends please think of the real o. j. and not this lost person.,0,2,ฉันมีชีวิตที่ดี เพื่อนที่ดี โปรดนึกถึงโอที่แท้จริง เจ และไม่ใช่คนหลงทางคนนี้
165,"i hoped to reread ""a death in venice"" (t. mann), but it is a long ways away back at home.",1,2,"ฉันหวังว่าจะได้อ่านเรื่อง ""a death in venice"" (t. mann) อีกครั้ง แต่หนทางกลับบ้านยังอีกยาวไกล"
166,I'm exhausted from feeling like this every hour of every day.,1,1,ฉันเหนื่อยกับความรู้สึกแบบนี้ทุกชั่วโมงทุกวัน
167,give money to construct n I give road to his property but both chitted me n bailkmail me.,1,1,ให้เงินเพื่อสร้าง n ฉันให้ถนนแก่ทรัพย์สินของเขา
